Datum,Verwarming,Water,Temperatuur
2022-12-16,480.003,614.2,-0.9
2022-12-17,480.258,614.2,-1.8
2022-12-18,480.564,614.3,-2.4
2022-12-19,480.852,614.4,7.7
2022-12-20,481.032,614.6,10.3 
2022-12-21,481.147,614.7,7.3 
2022-12-22,481.251,614.8,8.5
2022-12-23,481.338,614.9,8.9
2022-12-24,481.453,615.1,9.6
2022-12-25,481.539,615.4,8.4
2022-12-26,481.582,615.5,8.6
2022-12-27,481.680,615.7,4.7
2022-12-28,481.878,615.8,8.5
2022-12-29,482.025,615.9,10.3
2022-12-30,482.212,616.0,7.2
2022-12-31,482.328,616.0,13.9
2023-01-01,482.392,616.2,12.5
2023-01-02,482.527,616.4,8.8
2023-01-03,482.724,616.5,5.9
2023-01-04,482.842,616.6,11.6
2023-01-05,482.940,616.7,10.8
2023-01-06,483.040,616.9,10.5
2023-01-07,483.145,617.0,10.4
2023-01-08,483.246,617.1,8.5
2023-01-09,483.444,617.2,7.0
2023-01-10,483.678,617.3,6.5
2023-01-11,483.775,617.4,10.2
2023-01-12,483.919,617.5,10.3
2023-01-13,484.102,617.6,8.7
2023-01-14,484.290,617.8,8.4
2023-01-15,484.477,617.9,6.5
2023-01-16,484.750,618.0,4.2
2023-01-17,484.934,618.1,1.7
2023-01-18,485.182,618.2,1.6
2023-01-19,485.352,618.4,3.4
2023-01-20,485.676,618.5,0.6
2023-01-21,486.021,618.7,-1.4
2023-01-22,486.284,618.8,0.2
2023-01-23,486.500,618.9,2.5
2023-01-24,486.788,619.0,2.0
2023-01-25,487.126,619.0,-0.7
2023-01-26,487.278,619.1,3.9
2023-01-27,487.450,619.3,4.2
2023-01-28,487.584,619.4,3.2
2023-01-29,487.818,619.6,4.3
2023-01-30,488.016,619.7,7.1
2023-01-31,488.206,619.8,6.6
2023-02-01,488.398,619.9,7.8
2023-02-02,488.559,620.0,8.1
2023-02-03,488.707,620.1,9.4
2023-02-04,488.761,620.2,7.3
2023-02-05,488.829,620.4,7.1
2023-02-06,488.977,620.5,3.9
2023-02-07,489.128,620.5,0.4
2023-02-08,489.294,620.6,0.3
2023-02-09,489.549,620.8,2.0
2023-02-10,489.682,620.9,3.0
2023-02-11,489.787,621.0,7.7
2023-02-12,489.963,621.2,7.2
2023-02-13,490.089,621.3,8.0
2023-02-14,490.215,621.3,4.9
2023-02-15,490.323,621.5,5.0
2023-02-16,490.456,621.6,7.9
2023-02-17,490.543,621.7,10.5
2023-02-18,490.644,621.9,9.4
2023-02-19,490.734,621.9,8.2
2023-02-20,490.914,622.1,8.1
2023-02-21,491.058,622.1,8.1
2023-02-22,491.191,622.2,6.8
2023-02-23,491.331,622.3,7.2
2023-02-24,491.569,622.4,4.4
2023-02-25,491.580,622.5,4.4
2023-02-26,491.626,622.8,2.8
2023-02-27,491.756,622.9,1.9
2023-02-28,491.907,623.0,3.2
2023-03-01,492.040,623.1,1.6
2023-03-02,492.152,623.2,3.7
2023-03-03,492.260,623.2,4.0
2023-03-04,492.354,623.4,6.1
2023-03-05,492.458,623.6,4.2
2023-03-06,492.620,623.7,3.9
